Size Insertion Heap Quick RadixLSD InsertionSorted HeapSorted QuickSorted RadixLSDSorted InsertionEqual HeapEqual QuickEqual RadixLSDEqual InsertionReversed HeapReversed QuickReversed RadixLSDReversed
5100 22974960 970030 545379 1321996 21216 828129 168984 1319754 21257 68012 216687 130212 45906451 790828 170935 1321126
5200 23893514 989003 555516 1349379 21756 844012 172884 1346607 21626 69295 219568 132473 47733968 809369 174532 1344767
5300 24800195 1009395 566013 1373940 22072 862606 177599 1371664 22390 70780 223741 135941 49562484 826020 179162 1373752
5400 25714019 1029055 578302 1396418 22445 878589 179282 1393347 22447 71931 229105 137417 51330843 842495 180787 1395021
5500 26701254 1050554 590596 1426165 23072 895779 184340 1421574 22934 73269 232586 140080 53272065 858407 185499 1418931
5600 27686482 1071840 601140 1450142 23721 915566 187424 1447432 23311 74963 236044 143044 55222708 874128 188388 1447272
5700 28645458 1091168 613619 1475956 23727 930535 191115 1472437 23741 75906 241645 145837 57210183 890244 193307 1470593
5800 29643684 1113940 626597 1500034 24197 946829 197045 1497322 24139 77546 248640 147770 59221949 909345 198424 1496500
5900 30718032 1138417 638625 1525920 24585 964974 200095 1522397 24541 78552 253254 150452 61285873 927749 201742 1523344
6000 31733980 1157487 649302 1553012 25018 983364 206771 1549998 24955 80116 256163 152740 63378718 940644 208592 1551428
6100 32753003 1178289 662505 1578849 25359 999191 209187 1574271 25400 81260 260143 155382 65496904 958749 210586 1576217
6200 33937494 1203546 675907 1605838 25820 1022540 212463 1602210 26149 82918 264994 158651 67728017 975823 215091 1605185
6300 34955477 1221901 685669 1630746 26283 1036594 217112 1628657 26622 84148 269144 160547 69879302 994024 219715 1628217
6400 36181139 1245857 695354 1657233 27082 1056327 218564 1650493 26623 85220 275327 162541 72093176 1011499 220000 1654001
6500 37225077 1265237 708166 1683524 27042 1073612 223056 1681537 27268 86847 281032 165695 74382562 1028001 224800 1679517
6600 38439684 1287107 719460 1707760 27468 1093917 225106 1702990 27482 87902 284275 168668 76659711 1046484 227636 1706349
6700 39585540 1311793 731935 1735567 27917 1108639 228876 1731240 27950 89230 289337 170591 79034455 1065158 231714 1730077
6800 40774758 1330844 742373 1761152 28295 1128275 234472 1753851 28297 91097 296894 173186 81393040 1081219 236883 1754987
6900 42003558 1351544 755939 1786624 28707 1142799 237853 1780079 28752 92067 301551 175257 83816852 1097748 240155 1782867
7000 43230028 1376513 768077 1813560 29227 1161794 242547 1807795 29125 93194 302892 178213 86236456 1116225 244998 1809000
7100 44419100 1396467 779815 1837620 29529 1179478 243944 1832083 29533 94436 305329 180624 88744466 1134616 246021 1832035
7200 45748457 1417305 792766 1862038 29955 1195632 246511 1861270 29945 96002 309693 183451 91234957 1149855 249847 1857822
7300 46969832 1444490 803978 1890520 30410 1215223 255934 1886435 30385 97534 317609 186726 93826976 1170693 258910 1886256
7400 48258860 1460273 817336 1917605 30754 1230071 261551 1908603 30776 98499 323864 188009 96358925 1188233 265762 1914023
7500 49477119 1484375 829977 1942915 31241 1251166 264710 1936723 31220 100858 333049 191484 99033256 1203311 268582 1938764
7600 50913804 1505150 839929 1969408 31669 1266226 267266 1960821 31990 101042 334659 193783 101652616 1220990 270687 1962223
7700 52271223 1528242 855521 1993851 32021 1286895 270977 1988692 32063 102947 338918 196658 104365428 1236780 274766 1991159
7800 54075236 1577826 873332 2028697 32550 1311004 278758 2032482 32540 104223 346093 199379 107919116 1266642 282382 2023737
7900 55178167 1581344 881543 2050379 32963 1324996 279763 2045730 33067 105555 349747 201711 110250782 1277726 284387 2048070
8000 56456386 1594638 890012 2075187 33418 1336144 280682 2065089 33284 106440 352100 203679 113089674 1294251 286748 2066691
