Size Insertion Heap Quick RadixLSD Hybrid InsertionSorted HeapSorted QuickSorted RadixLSDSorted HybridSorted InsertionEqual HeapEqual QuickEqual RadixLSDEqual HybridEqual InsertionReversed HeapReversed QuickReversed RadixLSDReversed HybridReversed
4100 14825746 758295 427080 406120 390839 17099 644668 131715 406482 84832 17295 54935 171691 119871 100053 29586950 617841 134411 406081 87495
4200 15584664 778076 439594 415507 402992 17545 663589 134956 417287 87165 17450 56206 171911 122951 102445 31052452 636029 137538 415709 89154
4300 16320735 800333 450150 425642 414539 17935 681937 139276 425991 88741 17881 57389 177145 126392 104916 32545396 653505 141262 424796 91562
4400 17070177 819179 462628 434938 423982 18343 697325 142704 435191 90603 18308 58960 181835 128660 107729 34084272 669192 145170 434554 93122
4500 17860188 840111 475649 447426 434802 18780 715342 147247 447306 92555 18739 60237 185769 131629 109522 35685902 688348 149219 446876 95439
4600 18653827 862282 483762 454642 444026 19159 734619 148457 455359 94501 19126 61540 187872 134406 111812 37249927 703024 151968 455994 97209
4700 19511981 881315 496106 465542 455063 19629 750455 154950 465760 96368 19547 62847 195589 137804 114914 38905191 720744 157922 464943 99771
4800 20309066 903735 510131 477571 467490 20365 771041 160514 475322 98194 19967 64142 202155 140379 116230 40547565 736010 162911 474088 101151
4900 21187711 925500 520967 485865 478159 20539 789932 163081 485048 100282 20416 65725 206027 143949 119584 42290270 756960 165684 485069 103328
5000 22185965 945205 532207 496135 490750 20891 805065 166426 495027 102175 20802 67147 211258 146350 121426 44091548 769662 169051 494908 105467
5100 22956887 966224 543445 503422 498642 21622 821022 166495 505712 104439 21307 68151 215346 148955 123696 45777843 787184 169833 503200 107089
5200 23817873 988895 555156 515885 510306 21654 842995 171368 515684 106135 21634 69405 218979 152465 126220 47592942 805820 174030 512907 109554
5300 24858728 1011397 566205 525376 519918 22101 859815 176405 525384 108217 22073 70905 224012 154850 128482 49505415 822663 178329 523326 111360
5400 25754859 1032423 576087 534908 531685 22500 875642 178466 534401 109864 22444 72088 228946 157648 131232 51325257 839725 181221 532644 113263
5500 26658894 1051342 590114 547186 542086 23043 895608 183608 582424 112190 22859 73492 232926 160607 133253 53321440 856895 186140 543766 115157
