Size Insertion Heap Quick RadixLSD InsertionSorted HeapSorted QuickSorted RadixLSDSorted InsertionEqual HeapEqual QuickEqual RadixLSDEqual InsertionReversed HeapReversed QuickReversed RadixLSDReversed
5800 29817032 1124423 725269 574083 24182 954045 477530 573376 24202 77625 265904 170866 59564955 914267 473553 575752 
5900 30849536 1145469 739112 582947 24588 969869 483485 583771 24596 78614 269272 172320 61519638 932186 482276 583022 
6000 32514869 1194342 771017 601445 26276 1008457 546625 607484 25446 81056 274182 176702 65371559 956423 494554 599741 
6100 33824381 1237970 786647 617947 26150 1027755 515587 623749 26433 84803 281007 181966 67573293 987578 507389 616119 
6200 33958669 1203550 774744 610481 25789 1021262 509186 611664 26055 82570 279846 182207 67789822 980079 503014 610704 
6300 34959644 1226794 789059 622177 26502 1039800 521275 620446 26137 83810 283790 184190 69882272 997059 512398 622861 
6400 36118556 1245652 800541 630342 26641 1054556 527813 629579 26661 85209 290050 186681 72126696 1011353 519956 630038 
6500 37257933 1267940 813679 642353 26978 1073123 534701 640143 26951 86385 294900 189254 74387631 1032958 528871 638934 
6600 38419540 1292169 828092 652201 27411 1093104 543558 650174 27501 87857 298916 193042 76748352 1048897 536543 650527 
6700 39581196 1313459 839764 660053 27882 1109494 550985 658762 27817 89477 305557 195653 79043296 1064294 542053 658136 
6800 40813212 1335750 857664 671750 28232 1127665 560922 671495 28271 90417 312830 199155 81410152 1081260 553539 668685 
6900 42034182 1357720 867082 680801 28727 1146236 572685 680842 28702 91860 316889 202402 83985956 1103206 564650 682822 
7000 43458104 1408899 893169 699964 29199 1172391 583577 692862 29200 95298 322104 205672 87098652 1129877 576069 694889 
7100 45446127 1428242 915982 710291 29934 1202444 598933 714628 30112 96969 335765 211170 91185887 1167315 597476 718037 
7200 46806460 1453533 927472 727325 30244 1227246 613031 721781 32948 96758 334448 215718 93912436 1176139 610609 730768 
7300 47577389 1460655 928548 732367 30620 1235730 611474 733664 30680 102787 339087 215342 95312104 1187524 603412 733979 
7400 48258588 1467119 932469 732833 30713 1233764 609815 729786 30786 98727 340657 215760 96390987 1189757 605234 730549 
7500 49590810 1488045 950308 742480 31120 1249552 621199 741207 31115 99944 350950 218993 99045340 1204950 612934 739310 
7600 51000151 1509655 964401 754817 31608 1269042 626651 748212 31651 101250 357232 227012 102230301 1226272 621871 749352 
7700 52248659 1536028 977335 762783 32004 1286835 637319 758291 32054 102942 358262 224919 104611694 1240011 631900 763137 
7800 53582408 1555255 992611 774956 32765 1303121 644822 768576 32430 103670 361544 227412 107092236 1260459 637759 772477 
7900 54958787 1577250 1002313 780740 32849 1321074 653111 778305 32752 105024 366310 230450 109834852 1276412 646584 782429 
8000 56433377 1601202 1018044 791531 33199 1337839 659633 788375 33231 106484 371204 233683 112687623 1294251 654576 787696 
8100 57775050 1623098 1030539 801205 33705 1356538 667594 798069 33621 108018 373568 235999 115476716 1310308 664856 801420 
8200 59160897 1644352 1046157 813590 34031 1373192 678385 808227 34049 108879 381127 239147 118351435 1327185 673884 809291 
8300 60705600 1671487 1059476 821862 34461 1394464 688627 817437 34407 110447 382427 243788 121302405 1343257 680269 819823 
8400 62173036 1688872 1074852 828558 34992 1411905 697304 827738 34881 111771 385461 244748 124147374 1363215 691442 829286 
8500 63606828 1714242 1087861 841049 35244 1430534 703926 836893 35272 113139 391337 247840 127154374 1383025 698781 840031 
8600 65142882 1734604 1101028 849615 35701 1449189 710925 846823 35729 114320 395728 251124 130203765 1403862 705189 852650 
8700 66980323 1764952 1114881 868410 36119 1478736 724486 860447 36221 115912 401058 254820 134213320 1426340 726436 860335 
