Size Insertion Heap Quick RadixLSD InsertionSorted HeapSorted QuickSorted RadixLSDSorted InsertionEqual HeapEqual QuickEqual RadixLSDEqual InsertionReversed HeapReversed QuickReversed RadixLSDReversed
7300 47345654 1462816 812597 726556 30477 1228186 260393 723798 30676 97758 320152 213989 94723790 1180360 262241 725278 
7400 48418420 1469749 820027 730880 30793 1236839 261108 729166 30752 98547 325032 216179 96563142 1188972 264682 731025 
7500 49695946 1492412 831539 743032 31287 1253418 265113 739627 31182 100109 334829 219607 99174142 1208122 268719 741393 
7600 51021207 1513140 844414 753296 31632 1270176 268865 749610 31578 101999 336339 222061 101842740 1225069 272986 750531 
7700 52377810 1534772 856204 761538 32008 1287356 271266 759116 31999 102592 340727 225329 104525942 1248285 277426 764377 
7800 53657607 1556242 866932 772345 32472 1304596 279514 768762 32488 104169 344346 227585 107294428 1261728 281695 775664 
7900 55092572 1579415 879576 782760 32856 1325834 279511 778853 32880 105198 348821 230667 110067288 1280436 284712 780011 
8000 56538289 1602860 892501 793638 33294 1341029 282312 788842 33250 106509 351592 233467 112830319 1295972 286385 793420 
8100 57878114 1625913 902769 804872 33669 1357510 282998 798522 33686 107898 355776 237517 115676985 1313687 287153 800805 
8200 59588823 1650882 920320 816082 34214 1380844 282402 811380 34419 110084 365472 240482 118790465 1332145 288710 815656 
8300 61267663 1677090 937000 825482 35309 1407263 287323 825042 34808 110961 364497 243967 122348755 1355821 291282 826034 
8400 64745550 1767395 966357 856083 35449 1440784 298866 857532 35922 113753 373859 251220 128821565 1405738 297320 845443 
8500 65793666 1764664 983232 871645 35824 1457578 313724 859114 39049 115002 377967 251288 130252402 1466782 308226 865235 
8600 65760804 1749243 972798 856970 35893 1471431 298413 850040 35895 115349 377502 252204 131423028 1413257 304631 854223 
8700 66899384 1756990 976819 862392 36149 1471115 299028 858546 36190 116313 381387 254749 133492649 1420979 304285 865359 
8800 68327540 1781204 990411 872495 36547 1489847 305289 867218 36582 117403 388212 256954 136533575 1439130 310123 876647 
8900 70458475 1805405 1005022 882538 37087 1511109 311784 880041 37060 118757 402599 265159 140136431 1459517 317560 885456 
9000 71556440 1824199 1016727 890567 37417 1526057 313472 886251 37386 119770 396771 262747 142835520 1476990 320205 896367 
9100 73233615 1847799 1026613 900895 37871 1545651 317960 897301 37844 121574 399495 266962 145985883 1493297 323744 906389 
9200 74743360 1868769 1037952 912855 38292 1564859 318214 906923 38258 122930 400805 268375 149220036 1511922 323296 917521 
9300 76352311 1891439 1053219 922318 38772 1585053 324119 917438 38722 123873 408659 272209 152559011 1527932 329507 921841 
9400 77972849 1916013 1067668 932831 39139 1602931 331604 928697 39121 125298 417273 274579 155802424 1551524 336865 936397 
9500 79733540 1939375 1078149 939629 39496 1622254 336822 936023 39525 126783 423778 278047 159213535 1565835 342719 948544 
9600 82459134 2056687 1213881 962293 40560 1657015 343867 964673 40489 128338 432525 281000 164271917 1589388 348896 953148 
9700 84522341 2047317 1112297 969508 40664 1674858 346947 963147 40670 130432 441652 290239 168972311 1689486 353229 985384 
9800 85051730 2007076 1117517 972964 40822 1681531 348460 970420 41506 132213 440254 289971 170079445 1630837 353568 982898 
9900 86620295 2030537 1128027 983572 41543 1699445 353384 979733 41278 131904 445176 290375 173023223 1639345 359100 986308 
10000 88322334 2049505 1137454 1147149 41699 1719300 357832 988733 42065 134394 450137 292760 176626104 1661713 362689 992645 
