Size Insertion Heap Quick RadixLSD InsertionSorted HeapSorted QuickSorted RadixLSDSorted InsertionEqual HeapEqual QuickEqual RadixLSDEqual InsertionReversed HeapReversed QuickReversed RadixLSDReversed
100 16236 15711 10596 13400 691 14562 3291 10217 692 2235 4207 5626 29813 11834 3276 10158 
200 44617 27072 16893 19803 996 25937 5264 19795 994 3188 6857 7574 84542 21787 5341 19637 
300 82374 37418 22782 23959 1252 35555 7310 24261 1255 3991 9178 9222 159730 30993 7375 23850 
400 146232 53391 32025 31702 1689 49667 9975 31714 1686 5349 12781 12194 285650 44704 10203 31716 
500 227731 69958 41304 39456 2099 64249 13336 39403 2100 6708 16571 15167 446516 58879 13438 39270 
600 323373 85865 50527 46362 2496 79030 16116 46632 2504 8092 20224 17953 637040 72974 16229 46450 
700 438017 101240 59821 53666 2905 92799 18885 54145 2900 9247 23374 20702 862768 86910 19043 53520 
800 566797 117574 69401 60855 3300 107620 21569 61129 3302 10533 27669 23547 1118224 100244 21728 61092 
900 715039 134716 78899 68693 3716 122060 25130 68793 3707 11905 31096 26282 1417250 115486 25090 68146 
1000 898585 155499 90528 93142 4192 139285 28965 77043 4194 13578 36029 29702 1779884 131497 29482 76842 
1100 1071368 170686 99334 109348 4558 153332 30968 109436 4570 14583 39332 32440 2125716 144767 31352 108947 
1200 1291682 189242 110858 119730 5021 169249 35255 119633 4985 16022 43847 35254 2543310 159678 35510 119444 
1300 1476058 203943 117760 127046 5320 182018 37018 127624 5315 17028 46680 37572 2931343 173142 37193 126726 
1400 1733603 223304 129628 138428 5793 198913 41420 138551 5796 18488 51042 41030 3431920 188741 41408 138201 
1500 1972170 240328 139677 147079 6173 213153 44719 147250 6161 19715 54889 43524 3919428 203933 44815 146452 
1600 2247668 259084 149964 157194 6583 229169 47238 157444 6585 21063 59488 46585 4472716 217715 47352 156962 
1700 2556709 280561 162021 168300 7059 247766 51477 168385 7062 22560 64945 49784 5092264 235441 51682 168460 
1800 2846564 298694 172679 177052 7429 263041 54476 177305 7439 23784 67286 52592 5678654 249854 54199 177159 
1900 3168631 317500 182921 186839 7858 277812 59067 186859 7857 25093 72944 55492 6324335 265774 59141 186667 
2000 3512497 335844 192495 196326 8234 289924 61885 196303 8231 26406 76214 58515 6985712 280098 62255 196312 
2100 3883102 354754 203609 207063 8732 307686 63092 206076 8676 27745 79755 61239 7717675 295922 63577 206312 
2200 4250778 373739 215062 216229 9089 325284 66622 216301 9094 29073 84343 64180 8479025 312053 67199 216127 
2300 4664880 395748 225993 227417 9544 343256 69192 226689 9530 30518 87448 67071 9289700 328368 70319 226716 
2400 5063747 414240 236804 236772 9940 360394 75269 236283 9934 31778 93640 70004 10102357 343664 75581 235611 
2500 5505384 434496 248107 246706 10435 376985 78597 247297 10376 33249 98245 73120 10997326 361070 79376 246757 
2600 6004903 457242 261263 258252 10839 396400 81580 258393 11003 34825 101807 76383 11943180 379369 81989 258720 
2700 6450819 473695 270951 266791 11292 410175 84507 266800 11244 35960 107038 79149 12850093 395481 85504 266742 
2800 6952330 495435 282966 276433 11659 427984 89534 276880 11651 37348 110066 82095 13846555 410524 89947 277895 
2900 7451519 514565 292962 286813 12075 444120 93142 286884 12059 38628 117226 84910 14846485 428159 93228 287102 
3000 7960039 534114 305954 297001 12482 461616 97395 296597 12482 39947 119982 87804 15888427 440883 97825 296535 
3100 8507502 556025 315082 307469 12937 479067 99126 306271 12885 41254 123754 90642 16940644 457628 99937 306639 
3200 9052008 574292 327312 316645 13314 496454 101698 316530 13319 42717 130084 93915 18073542 473329 102688 315726 
3300 9634861 594871 338337 326541 13721 513048 106416 327389 13730 43896 132941 96691 19204965 492361 107217 325900 
3400 10227247 616109 350981 337974 14440 530740 110842 336208 14220 45340 139442 99570 20396647 507546 111188 335868 
3500 10852020 636154 361854 347032 14604 547610 114232 345971 14602 46640 142951 102589 21614914 524711 115182 345799 
3600 11460142 657550 372287 356470 14982 564624 116216 355355 15022 48187 146390 105851 22861097 542454 117275 356463 
3700 12106229 677562 383667 366071 15405 581412 123110 366320 15391 49259 152366 108245 24164787 558806 124176 364943 
3800 12758754 700225 396048 376466 15817 599789 126594 375683 15801 50606 157558 111184 25472623 573706 127994 375940 
3900 13452338 719115 405551 387982 16237 614318 130387 385082 16215 51962 161477 114067 26836494 590266 131839 385878 
4000 14124449 741731 418992 396504 16648 632280 133102 396359 16652 53329 165167 116937 28241236 607278 134360 394096 
4100 14836869 760607 429419 404181 17072 647276 132712 404728 17060 54641 171131 119907 29652400 620027 134073 403934 
4200 15603593 788117 441360 415265 17542 667235 135740 414846 17480 56088 172053 123212 31140441 640148 137704 414141 
4300 16377176 804754 453202 425722 17935 684688 139692 424752 17881 57944 177615 126217 32637530 656744 141700 424884 
4400 17083069 821265 463586 434875 18290 701043 143250 434345 18343 58585 182230 128990 34155312 673512 145593 433251 
4500 17939828 843921 476537 446342 18741 720337 148517 446074 18745 60404 186469 131939 35793321 692324 149619 445462 
4600 18701269 864770 486182 456204 19147 736966 149199 453676 19126 61269 188079 134326 37333065 705087 151462 453961 
4700 19610171 887576 501480 468931 19720 758383 156817 465289 19748 62921 195516 137842 39147215 726492 158829 465847 
4800 20402084 910460 512905 476417 19987 774892 161307 474570 20092 64559 202603 140536 40757560 742545 163772 475107 
4900 21227135 926737 522950 484410 20368 789724 163666 483018 20402 65641 205556 143409 42361911 759315 165743 482703 
5000 22110265 948572 534641 496894 20793 806612 167958 494207 20796 66639 210994 146445 44109377 772616 169999 493989 
5100 23001832 970579 544837 507292 21227 825712 168674 503837 21223 67872 215308 149200 45884205 791115 171015 502891 
5200 23866252 991035 558171 515094 21777 843403 173090 513644 21624 69304 218479 152234 47715377 807840 175228 513222 
5300 24831403 1011796 569651 525234 22031 860018 178338 523019 22055 70936 223450 154940 49524607 827726 180711 521890 
5400 25741905 1033272 580021 535495 22465 878524 180480 533791 22512 71906 229144 157848 51449383 845997 184274 534511 
5500 26694296 1053012 593628 544437 22854 895329 185337 543967 22844 73347 232924 160973 53339020 861010 187448 543570 
5600 27744582 1077202 604188 556346 23277 915368 189155 552806 23287 74562 235445 163667 55320520 877667 191379 553382 
5700 28720276 1101082 617916 565130 23731 931719 192476 562440 23760 76026 242426 167488 57373853 894476 195812 564036 
5800 29727387 1116871 629364 575775 24109 949132 197935 571623 24133 77267 248999 170036 59323145 911724 199701 573236 
5900 30759443 1139733 639657 584576 24534 966799 201220 581517 24776 78701 253840 172435 61399012 930321 204050 582417 
6000 32076746 1195818 660354 605964 25180 998068 208228 602760 25169 80705 257971 176541 64002271 949652 210382 594138 
6100 33279302 1198514 672235 607836 25637 1013806 210299 607858 25977 82166 263273 179793 66389998 970111 213488 607111 
6200 34165190 1213801 678557 617262 25828 1028889 211943 616156 25877 83460 266493 182083 68328412 983936 215199 615387 
6300 35296304 1236181 694687 626385 26393 1045281 216739 625905 26302 86202 271976 185186 70525382 1003672 219658 625096 
6400 36455819 1257384 707617 637136 26675 1061721 217592 634701 26683 85813 277593 187901 72669212 1018360 220855 633784 
6500 37533973 1282602 721428 645655 27379 1082490 223645 646215 27152 86836 282027 190776 74941045 1036662 227778 641501 
6600 38519847 1294035 722406 655189 27541 1091508 226314 652355 27722 88446 285451 193445 76933293 1049771 230242 654866 
6700 40013007 1326130 747987 672738 28021 1117266 235445 666764 28166 90157 292080 197945 79833217 1076368 233425 665469 
6800 41161927 1348906 757031 679832 28458 1137445 237090 676630 28578 90970 299626 199905 82173778 1090301 238934 675464 
6900 42384845 1372433 766414 686630 28808 1157625 240919 688130 29143 92690 305155 203102 84600268 1110151 243689 684516 
7000 43629567 1391174 779817 693934 29569 1171944 243490 694689 29172 94207 306961 206497 87157673 1126869 247905 695288 
7100 44930603 1416398 793194 706657 29605 1189645 246193 704043 29912 95633 308322 209613 89578299 1146532 249332 705313 
7200 46144999 1434069 802852 715358 30093 1206577 247847 714406 30343 96436 312382 211467 92091189 1180168 255967 719342 
